dff,9537869,10077,65,123
dfg,9912427,9552,12,50
dga,9818554,10310,234,352
dgb,9787985,12207,89,212
dgc,9687668,9361,32,92
dgd,9958405,9609,60,179
dge,9953520,8240,72,191
dgf,9926933,9046,170,285
dgg,9903965,7817,82,148
eaa,9945708,9674,17,63
eab,9996885,9183,11,25
eac,9444015,8279,25,39
ead,9976097,8605,7,20
eae,9991592,6949,198,306
eaf,9756776,8608,279,482
eag,9960690,10127,185,267
eba,9803767,9636,194,359
ebb,9898162,8704,66,175
ebc,9594495,9004,316,549
ebd,9793731,9712,142,290
ebe,9640989,11661,140,250
ebf,9925116,8710,274,420
ebg,9755253,7486,91,254
eca,9743868,7373,19,57
ecb,9687981,9234,31,62
ecc,9944745,7594,41,71
ecd,9953223,8672,186,248
ece,9867968,9136,141,299
ecf,9917359,9493,104,179
ecg,9928422,8182,125,381
eda,9934929,6557,425,737
edb,9523162,8262,19,48
edc,9457984,9748,25,52
edd,9991272,8889,38,65
ede,9907550,8500,38,104
edf,9972167,11629,55,157
edg,9642566,6820,127,349
eea,9796699,8457,172,280
eeb,9649189,9492,30,51
eec,9608659,8209,8,47
eed,9995328,9080,151,336
eee,9899854,8466,53,146
eef,9879973,8153,49,130
eeg,9910868,9446,193,410
efa,9815627,9191,340,740
efb,9898562,9568,79,140
efc,9507632,7873,152,265
efd,9968400,8279,20,112
efe,9815660,9676,92,289
eff,9999994,9430,95,219
efg,9665687,8686,68,158
ega,9778073,8734,126,347
egb,9344563,9687,96,220
egc,9935254,7956,28,46
egd,9935738,8926,97,215
ege,9962620,9733,276,482
egf,9887743,9157,251,400
egg,9942183,9568,72,132
faa,9605846,8113,14,46
fab,9994648,7881,133,278
fac,9905036,7600,72,248
fad,9998132,7983,80,136
fae,9679782,8569,43,108
faf,9395027,10816,117,303
fag,9938755,10023,132,179
fba,9988482,7957,189,393
fbb,9876194,8013,176,267
fbc,9964419,8287,64,194
fbd,9375075,9595,6,13
fbe,9663302,8566,109,186
fbf,9598611,9805,7,23
fbg,9975130,10190,207,293
fca,9987193,9293,133,175
fcb,9997498,8076,54,135
fcc,9789743,10118,56,85
fcd,9934906,10177,154,242
fce,9957524,8456,11,37
fcf,9733891,9241,166,277
fcg,9807949,8462,64,171
fda,9964639,8220,154,235
fdb,9851320,8125,163,285
fdc,9999360,9557,126,184
fdd,9562329,10271,6,16
fde,9903131,9024,77,266
fdf,9731442,7826,185,473
fdg,9558728,11124,287,461
fea,9611271,8942,70,163
feb,9990496,11522,254,374
fec,9745047,9459,141,208
fed,9815867,8048,123,247
fee,9792348,8980,175,290
fef,9871958,9151,12,31
feg,9766479,8951,127,219
ffa,9774136,9582,205,352
ffb,9697963,9212,212,321
ffc,9803663,8021,49,159
ffd,9786303,8536,24,85
ffe,9940958,7037,189,306
fff,9925335,8380,19,57
ffg,9876825,8403,84,233
fga,9878819,9900,40,258
fgb,9970254,8815,50,201
fgc,9876261,7833,109,172
fgd,9595940,8331,74,160
fge,9974267,6829,130,305
fgf,9688169,8509,51,192
fgg,9809571,8355,102,211
gaa,9976918,8304,397,547
gab,9922450,9056,170,304
gac,9849388,9546,30,74
gad,9934256,9929,69,106
gae,9906939,7569,16,29
gaf,9682275,7695,124,167
gag,9755203,8720,308,479
gba,9462607,8595,39,61
gbb,9588551,10355,194,350
gbc,9400686,9619,106,202
gbd,9983796,8351,173,322
gbe,9837926,10238,135,188
gbf,9876920,9466,40,107
gbg,9937442,8257,225,397
gca,9987936,7717,84,143
gcb,9767165,9280,315,507
gcc,9966213,8376,252,382
gcd,9972263,9719,19,43
gce,9848446,9811,104,280
gcf,9864246,8317,14,34
gcg,9975048,7191,122,208
gda,9723532,8120,94,170
gdb,9858897,8718,46,132
gdc,9891452,9880,163,340
gdd,9890727,10173,79,162
gde,9557916,7804,176,288
gdf,9707681,7802,194,293
gdg,9760262,9425,275,614
gea,9887165,9228,71,210
geb,9160554,9573,27,69
gec,9855866,9123,73,244
ged,9746916,8440,143,318
gee,9811597,8300,221,425
gef,9892763,9443,140,306
geg,9699699,9039,138,211
gfa,9970375,8154,127,253
gfb,9892088,9196,141,351
gfc,9786699,9118,83,170
gfd,9973386,10147,118,231
gfe,9570295,10502,64,234
gff,9988205,8364,10,48
gfg,9786598,10916,86,287
gga,9769783,7190,72,118
ggb,9987099,9744,13,38
ggc,9896341,8535,309,561
ggd,9802084,10122,45,140
gge,9973408,8707,264,432
ggf,9940170,8385,153,257
ggg,9925014,8490,59,84
